Uniprot	Exp012_Bae_Liver_Control	Exp017_Yu_S16_SMase	Exp018_Yu_S16_SMase	Exp019_Yu_S16_SMase	Exp025_Man_RNK-16_Control	Exp026_Man_RNK-16_Control	Exp027_Man_RNK-16_Control	Exp035_Jia_Synaptosome_MbCD	Exp046_Welker_Liver_Control	Exp075_Chintagari_Pneumocyte_Control	Exp080_Ponce_Embryonic_cortical_neuron_Simvastatin	Exp081_Williamson_Embryonic_cortical_neuron_Control	Exp082_Williamson_Embryonic_cortical_neuron_Control	Exp087_Suzuki_Post_synaptic_membrane_Control	Exp100_Hur_Brain_Control	Exp101_Hur_Brain_Control
P16617	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
P16638	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1
P16970	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
P17046	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P17074	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P17764	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P18211	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
P18421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
P18484	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P19139	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P19234	0	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0
P19491	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0
P19511	1	0	0	0	0	0	0	1	0	0	0	1	1	1	0	0
P19527	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
P19627	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1
P20070	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
P20171	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P20788	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
P20974	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
P21396	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P21533	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
P21571	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P21575	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
P21707	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
P21913	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P21932	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
P22063	0	0	0	0	0	0	0	1	0	0	0	1	1	1	1	1
P23358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
P23505	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
P23565	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
P23978	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0
