Uniprot	Exp020_Sleight_Sperm_Control	Exp028_Kim_Liver_Control	Exp029_Kim_Lung_Control	Exp030_Kim_Kidney_Control	Exp031_Kim_Brain_Control	Exp041_Ishmael_Brain_Control	Exp043_Yu_Neonatal_brain_Control	Exp058_Dhungana_RAW264.7_LPS	Exp059_Dhungana_RAW264.7_LPS	Exp060_Dhungana_RAW264.7_LPS	Exp061_Dhungana_RAW264.7_LPS	Exp062_Asano_Sperm_Control	Exp063_Ogawa_Optic_nerve_Control	Exp065_Kim_3T3-L1_Control	Exp066_Nixon_Sperm_Control	Exp070_Zhai_Spinal_cord_Control	Exp076_Kim_C2C12_Control	Exp085_Davalos_Lung_Control	Exp088_Zheng_MEF_Control	Exp089_Zheng_MEF_Control	Exp090_Zheng_MEF_Control	Exp091_Zheng_MEF_Control	Exp092_Zheng_MEF_MbCD	Exp093_Zheng_MEF_Control	Exp095_Poston_NG108-15_Control	Exp096_Goyette_J774_Control	Exp112_Boscher_MEF_Control	Exp113_Boscher_MEF_Control	Exp115_Uyy_Lung_Control
P48036	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	1	0	1	1	0	1	1	1	0
P48962	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	0	1	1	0
P50153	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P50516	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
P50518	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	1	1	0	1	1	1	0
P51150	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	1	1	1	0
P51863	1	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	0
P51881	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0
P52480	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
P53986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	1	0
P53994	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	1	1	1	0
P54227	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P55012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0
P56135	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0
P56480	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	1	0	1	1	1	1	1	0	1	1	1	1	0
P56564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P57746	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	1	1	1	0	1	0	0	1	1	1	0
P58252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	0	1	1	0
P60202	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P60710	0	1	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0
P60764	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
P60879	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P60904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
P61021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P61022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P61027	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	1	0	0	1	1	1	0
P61028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0
P61161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
P61164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	0	0	1	1	0
P61226	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	1	0	0	0
P61264	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
P61750	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	1	1	0
P61982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0
P62071	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	1	0
P62082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	0
P62204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0
P62242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
P62259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	0	1	1	1	0
P62315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
P62331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
P62492	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	1	1	1	0
P62631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
P62702	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	1	0	1	1	0
P62748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
P62761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
P62806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	0	0	0
P62814	0	1	1	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	1	1	1	1	1	0	1	1	1	0
P62821	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	1	1	1	1	0	1	0	1	1	0
P62827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
P62835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	1	0	1	0	0	0	1	1	0
P62874	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0
P62880	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	0	1	1	1	0
P62908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	0	0	1	1	1	0
P62918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	1	1	0	0	0	1	1	0
P62962	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
P63001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	0	1	1	1	0
P63011	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
